"","filename","time_index","timestamp","band_index","band"
"186","disk/t_15/b_4.tif","15","2017-05-11 08:20:11","4","4"
"187","disk/t_15/b_5.tif","15","2017-05-11 08:20:11","5","5"
"188","disk/t_15/b_6.tif","15","2017-05-11 08:20:11","6","6"
"189","disk/t_15/b_7.tif","15","2017-05-11 08:20:11","7","7"
"190","disk/t_15/b_8.tif","15","2017-05-11 08:20:11","8","8"
"191","disk/t_15/b_9.tif","15","2017-05-11 08:20:11","9","8a"
"192","disk/t_15/b_10.tif","15","2017-05-11 08:20:11","10","9"
"193","disk/t_15/b_11.tif","15","2017-05-11 08:20:11","11","10"
"194","disk/t_15/b_12.tif","15","2017-05-11 08:20:11","12","11"
"195","disk/t_15/b_13.tif","15","2017-05-11 08:20:11","13","12"
"196","disk/t_16/b_1.tif","16","2017-05-21 08:16:11","1","1"
"197","disk/t_16/b_2.tif","16","2017-05-21 08:16:11","2","2"
"198","disk/t_16/b_3.tif","16","2017-05-21 08:16:11","3","3"
"199","disk/t_16/b_4.tif","16","2017-05-21 08:16:11","4","4"
"200","disk/t_16/b_5.tif","16","2017-05-21 08:16:11","5","5"
"201","disk/t_16/b_6.tif","16","2017-05-21 08:16:11","6","6"
"202","disk/t_16/b_7.tif","16","2017-05-21 08:16:11","7","7"
"203","disk/t_16/b_8.tif","16","2017-05-21 08:16:11","8","8"
"204","disk/t_16/b_9.tif","16","2017-05-21 08:16:11","9","8a"
"205","disk/t_16/b_10.tif","16","2017-05-21 08:16:11","10","9"
"206","disk/t_16/b_11.tif","16","2017-05-21 08:16:11","11","10"
"207","disk/t_16/b_12.tif","16","2017-05-21 08:16:11","12","11"
"208","disk/t_16/b_13.tif","16","2017-05-21 08:16:11","13","12"
"209","disk/t_17/b_1.tif","17","2017-05-31 08:20:11","1","1"
"210","disk/t_17/b_2.tif","17","2017-05-31 08:20:11","2","2"
"211","disk/t_17/b_3.tif","17","2017-05-31 08:20:11","3","3"
"212","disk/t_17/b_4.tif","17","2017-05-31 08:20:11","4","4"
"213","disk/t_17/b_5.tif","17","2017-05-31 08:20:11","5","5"
"214","disk/t_17/b_6.tif","17","2017-05-31 08:20:11","6","6"
"215","disk/t_17/b_7.tif","17","2017-05-31 08:20:11","7","7"
"216","disk/t_17/b_8.tif","17","2017-05-31 08:20:11","8","8"
"217","disk/t_17/b_9.tif","17","2017-05-31 08:20:11","9","8a"
"218","disk/t_17/b_10.tif","17","2017-05-31 08:20:11","10","9"
"219","disk/t_17/b_11.tif","17","2017-05-31 08:20:11","11","10"
"220","disk/t_17/b_12.tif","17","2017-05-31 08:20:11","12","11"
"221","disk/t_17/b_13.tif","17","2017-05-31 08:20:11","13","12"
"222","disk/t_18/b_1.tif","18","2017-06-10 08:16:01","1","1"
"223","disk/t_18/b_2.tif","18","2017-06-10 08:16:01","2","2"
"224","disk/t_18/b_3.tif","18","2017-06-10 08:16:01","3","3"
"225","disk/t_18/b_4.tif","18","2017-06-10 08:16:01","4","4"
"226","disk/t_18/b_5.tif","18","2017-06-10 08:16:01","5","5"
"227","disk/t_18/b_6.tif","18","2017-06-10 08:16:01","6","6"
"228","disk/t_18/b_7.tif","18","2017-06-10 08:16:01","7","7"
"229","disk/t_18/b_8.tif","18","2017-06-10 08:16:01","8","8"
"230","disk/t_18/b_9.tif","18","2017-06-10 08:16:01","9","8a"
"231","disk/t_18/b_10.tif","18","2017-06-10 08:16:01","10","9"
"232","disk/t_18/b_11.tif","18","2017-06-10 08:16:01","11","10"
"233","disk/t_18/b_12.tif","18","2017-06-10 08:16:01","12","11"
"234","disk/t_18/b_13.tif","18","2017-06-10 08:16:01","13","12"
"235","disk/t_19/b_1.tif","19","2017-06-20 08:20:11","1","1"
"236","disk/t_19/b_2.tif","19","2017-06-20 08:20:11","2","2"
"237","disk/t_19/b_3.tif","19","2017-06-20 08:20:11","3","3"
